sample	mean_C3SS_ratio	delta_C3SS_ratio	t_statistic	df	p_value	p_adj
Two_11	0.247512761919789	0.216361195871578	6.69120504023109	2.02189285420324	0.0210168419356435	0.0290223805061917
Two_110	0.151688028322856	0.120536462274645	39.7553744111905	3.78508831712036	4.198374685317e-06	8.1495794068745e-05
Two_111	0.162543159599475	0.131391593551263	7.39209083738016	2.07335729796445	0.0161158901753495	0.0236931928522151
Two_112	0.123583044801164	0.0924314787529525	25.632618829523	3.9388575249622	1.57115609938453e-05	0.000185920138427169
Two_113	0.0389674721904217	0.00781590614221036	1.28311549993366	2.7017105415386	0.298449382929399	0.308377013130793
Two_114	0.0832930377194377	0.0521414716712263	15.6573325716189	3.99720550502071	9.76343879568972e-05	0.00075819204397778
Two_115	0.253817487329186	0.222665921280974	5.64300055261412	2.01467547597973	0.0295070805146396	0.0387963466025817
Two_116	0.229298735210118	0.198147169161907	22.8808803460195	2.32630461289291	0.00086172871213292	0.00389344699936419
Two_117	0.0412440448245847	0.0100924787763733	3.89761363939846	2.69031076658592	0.0363815250555051	0.0452040448814651
Two_118	0.127521637985347	0.0963700719371358	11.3901660612078	2.34294341960688	0.00419443354113475	0.0113650070513221
Two_119	0.0664110124788062	0.0352594464305949	3.23228059428631	2.20042556528815	0.0738517215209683	0.084767449413213
Two_12	0.0961688147666177	0.0650172487184063	4.85550913095599	2.13099360126035	0.0351181590449001	0.0441866456843426
Two_120	0.391048129543209	0.359896563494997	16.7640555728042	2.05000648711222	0.00317644974298496	0.00955293253506964
Two_121	0.131080120240192	0.0999285541919805	9.9309329896794	2.2374016855647	0.00679442022420874	0.0150168880885035
Two_122	0.225336231895854	0.194184665847642	23.5674082410697	2.36298930387234	0.000736602081606045	0.00352010802459812
Two_123	0.295678891247365	0.264527325199153	12.3034481060152	2.04985634821491	0.00596226046162134	0.0141781983226115
Two_124	0.16395138694313	0.132799820894919	3.69466572069725	2.01769942666525	0.0651963491255271	0.0758842752116791
Two_125	0.134213597992244	0.103062031944033	4.70948754724282	2.04810323753346	0.0403466191047771	0.0493898268351582
Two_126	0.164676288605002	0.133524722556791	14.9746548565726	2.3065977291887	0.00238908304350222	0.00780186278877469
Two_127	0.219512260576161	0.18836069452795	9.7863866787961	2.0623989884038	0.00928366560258239	0.0165955218605691
Two_128	0.117435422019492	0.086283855971281	10.0219610367067	2.33040363937437	0.00574670415152678	0.0139322534795552
Two_129	0.100537733615583	0.0693861675673712	26.91224877755	2.65323849334181	0.000260924455923187	0.00164151208346613
Two_13	0.254958380795861	0.223806814747649	9.89056639277443	2.04495626069244	0.00934958978060229	0.0165955218605691
